id,name,is_active
1,北海道,true
2,青森県,true
3,岩手県,true
4,宮城県,true
5,秋田県,true
6,山形県,true
7,福島県,true
8,茨城県,true
9,栃木県,true
10,群馬県,true
11,埼玉県,true
12,千葉県,true
13,東京都,true
14,神奈川県,true
15,新潟県,true
16,富山県,true
17,石川県,true
18,福井県,true
19,山梨県,true
20,長野県,true
21,岐阜県,true
22,静岡県,true
23,愛知県,true
24,三重県,true
25,滋賀県,true
26,京都府,true
27,大阪府,true
28,兵庫県,true
29,奈良県,true
30,和歌山県,true
31,鳥取県,true
32,島根県,true
33,岡山県,true
34,広島県,true
35,山口県,true
36,徳島県,true
37,香川県,true
38,愛媛県,true
39,高知県,true
40,福岡県,true
41,佐賀県,true
42,長崎県,true
43,熊本県,true
44,大分県,true
45,宮崎県,true
46,鹿児島県,true
47,沖縄県,true
